"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 20:52:03 AEDT 2019","Mon Mar 25 20:52:12 AEDT 2019","8235","","validating the borrowing calculator functionality.","","validating the borrowing calculator functionality.","Validation of the successful borrowing estimate calcualation functionality","Validation of the successful borrowing estimate calcualation functionality",""
"passed","Mon Mar 25 20:52:12 AEDT 2019","Mon Mar 25 20:52:24 AEDT 2019","12322","","validating the borrowing calculator functionality.","","validating the borrowing calculator functionality.","Validation of startover functionality which clears all relevent fields","Validation of startover functionality which clears all relevent fields",""
"passed","Mon Mar 25 20:52:24 AEDT 2019","Mon Mar 25 20:52:34 AEDT 2019","10315","","validating the borrowing calculator functionality.","","validating the borrowing calculator functionality.","Validation for warning message to contact the customer care","Validation for warning message to contact the customer care",""
